Date,Open,High,Low,Close,Volume,Adj Close
2011-03-07,249.91,252.89,242.02,248.42,805000,246.76
2011-02-28,247.58,251.78,240.36,249.75,1008400,248.09
2011-02-22,245.31,250.53,242.96,246.71,869000,245.07
2011-02-14,252.54,258.83,248.61,250.74,1005500,249.07
2011-02-07,247.27,254.84,247.27,253.49,617000,251.80
2011-01-31,234.00,249.43,230.31,247.24,1053200,245.59
2011-01-24,233.54,243.60,233.46,234.87,847300,233.30
2011-01-18,236.22,238.98,228.03,233.53,1392900,231.97
2011-01-10,231.35,236.91,228.39,236.91,959500,235.33
2011-01-03,226.44,233.48,219.33,231.09,1812500,229.55
2010-12-27,218.30,226.75,217.54,224.11,838300,222.47
2010-12-20,221.30,226.00,215.42,218.30,2423200,216.70
2010-12-13,254.58,260.72,215.00,221.26,3753800,219.64
2010-12-06,247.25,255.66,246.18,254.76,803900,252.90
2010-11-29,234.90,250.00,230.01,249.08,1138600,247.26
2010-11-22,242.52,244.16,233.00,235.15,851500,233.43
2010-11-15,242.82,247.49,232.72,243.88,1076500,242.10
2010-11-08,255.00,255.88,242.61,243.17,718500,241.39
2010-11-01,242.61,256.89,238.23,256.29,1297400,254.42
2010-10-25,244.10,248.50,237.42,240.06,983800,238.31
2010-10-18,234.90,246.25,232.50,242.64,1018200,240.87
2010-10-11,222.31,235.64,220.00,233.70,1216200,231.99
2010-10-04,225.58,227.99,219.00,222.59,990100,220.96
2010-09-27,221.00,226.30,220.35,224.78,1046600,222.99
2010-09-20,214.00,223.18,211.52,221.57,1568800,219.80
2010-09-13,196.67,214.35,191.00,213.67,2938100,211.97
2010-09-07,204.65,205.93,191.20,198.14,1708300,196.56
2010-08-30,207.65,207.65,197.06,206.98,1031700,205.33
2010-08-23,208.33,208.54,201.06,206.62,835000,204.97
2010-08-16,209.19,215.14,204.81,206.37,713100,204.72
2010-08-09,209.60,217.41,207.00,210.64,1451400,208.96
2010-08-02,207.48,208.12,198.00,207.42,2316900,205.77
2010-07-26,213.65,217.05,204.50,210.04,973300,208.36
2010-07-19,197.66,213.27,193.00,212.94,1434300,211.24
2010-07-12,213.03,216.88,197.22,197.22,1384300,195.65
2010-07-06,203.99,215.52,198.06,215.52,1259400,213.80
2010-06-28,218.00,219.08,194.71,202.77,1658300,201.15
2010-06-21,215.73,230.48,211.18,218.39,2410200,216.48
2010-06-14,206.84,217.17,202.88,214.26,1647800,212.39
2010-06-07,197.29,206.30,193.76,204.88,3052400,203.09
2010-06-01,201.00,203.70,196.50,196.67,2396800,194.95
2010-05-24,215.39,216.49,201.15,201.77,2144300,200.01
2010-05-17,215.24,217.34,195.58,213.85,5822600,211.98
2010-05-10,233.99,239.92,209.07,212.45,4245000,210.60
2010-05-03,251.19,257.44,211.00,223.09,2710000,221.14
2010-04-26,268.16,269.22,245.99,248.04,1336000,245.88
2010-04-19,258.83,267.58,252.01,267.22,819700,264.89
2010-04-12,258.31,264.66,257.21,259.50,862100,257.24
2010-04-05,254.53,261.00,252.87,258.88,812900,256.62
2010-03-29,246.93,255.89,246.61,253.94,996300,251.58
2010-03-22,242.79,250.65,242.25,246.24,1015700,243.95
2010-03-15,250.98,251.30,242.55,244.36,989400,242.09
2010-03-08,239.09,251.89,238.39,249.97,1824300,247.65
2010-03-01,225.94,239.80,225.38,239.54,1884000,237.31
2010-02-22,222.84,226.95,216.43,224.37,1468100,222.28
2010-02-16,226.60,228.17,219.60,222.63,1624200,220.56
2010-02-08,221.00,229.29,220.17,225.48,1800700,223.38
2010-02-01,251.13,256.51,217.15,220.74,4144200,218.69
2010-01-25,253.40,257.95,245.83,249.90,1264600,247.58
2010-01-19,262.50,269.88,251.08,251.81,1305600,249.47
2010-01-11,254.57,265.88,247.88,262.65,1204000,260.21
2010-01-04,257.99,258.20,250.98,253.98,1058400,251.62
2009-12-28,255.90,259.00,253.00,255.98,681300,253.45
2009-12-21,256.00,258.15,253.71,255.42,715900,252.90
2009-12-14,247.00,255.72,242.39,254.84,1589100,252.32
2009-12-07,239.50,246.00,236.69,243.94,839800,241.53
2009-11-30,236.95,246.89,235.41,241.33,1362000,238.95
2009-11-23,233.49,240.58,232.79,235.59,1044800,233.26
2009-11-16,236.43,236.75,222.87,231.16,2565500,228.88
2009-11-09,238.50,242.93,232.64,234.72,1875400,232.40
2009-11-02,221.00,237.18,209.57,236.90,3177400,234.56
